,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
0,AVPE7ASMILAPNDXQ78G,B00QJDU3KY,139.0,5.0,"initially trouble deciding paperwhite voyage review le said thing: paperwhite great, spending money, go voyage.fortunately, friend owned each, ended buying paperwhite basis: model 300 ppi, 80 dollar jump turn pricey voyage's page press always sensitive, fine specific setting, need auto light adjustment).it's week loving paperwhite, regrets! touch screen receptive easy use, keep light specific setting regardless time day. (in case, hard change setting either, changing light level certain time day, every reading).also glad went international shipping option amazon. extra expense, delivery time, tracking, didnt need worry customs, may used third party shipping service.","Paperwhite voyage, no regrets!",Cristina M,674,1
1,AVPE7ASMILAPNDXQ78G,B00QJDU3KY,126.0,5.0,"allow preface little history. (was) casual reader owned nook simple touch 2011. i've read harry potter series, girl dragon tattoo series, 1984, brave new world, key titles. fair say nook get much use many others may gotten theirs.fast forward today. full week new kindle paperwhite admit, i'm love. kindle, reading again! let relate review, love, reading back kindle. investment 139.00 experience receive buy kindle. simply paying screen entire experience included buying amazon.i reading hunger game trilogy shall moving onto divergent series soon after. thing nook hindered past 4 years: never inspired pick up, get hands, dive in. never feeling oh man, reading thing awesome. however, paperwhite, feeling! desire back simply adore kindle. considering purchasing one, stop thinking simply go it. full week, 3 downloaded books, ton reading, still half battery left well.make happy. inspire reader inside you.",One Simply Could Not Ask For More,Ricky,909,1
2,AVPE7ASMILAPNDXQ78G,B00QJDU3KY,69.0,4.0,enjoying far. great reading. original fire since 2012. fire used make eye hurt read long. experienced paperwhite yet.,Great for those that just want an e-reader,Tedd Gardiner,117,1
3,AVPE7ASMILAPNDXQ78G,B00QJDU3KY,2.0,5.0,"bought one first paperwhites pleased constant companion suppose ive read, average, book every three day past however many year it. wouldnt give youd pry cold dead fingers.for sundry logistical reasons, ive also made good use amazon kindle app iphone. paperwhite screen, naturally, cool usability delivers, work well attraction companion kindle.of course, aspect paperwhite would like critique. ah knew coming somewhere, didnt you.as member bookbub, get daily list alert book deal chosen genres. take many them, however, ive found that, even best world, cant keep up. day seems every book read, ive bought two. there much good stuff there! accumulative effect number book actually paperwhite creeping ever upward time. 400.with mind, ive noticed page-turning remained exactly same, every action kindle become positively glacial. slow, slow think malfunctioning. general consensus appears expected one many book downloaded onto kindle, begin behave flakey manner. drive mad. amazon state hold thousand books. believe them. figure would need second paperwhite read im waiting action complete first one.read",Love / Hate relationship,Dougal,1103,1
4,AVPE7ASMILAPNDXQ78G,B00QJDU3KY,17.0,5.0,"say upfront - like coroporate, hermetically closed stuff like anything apple case, amazon. like device put anything want use it. but...i fairly happy user nook touch several years, use functionality since live serbia. lost nook since device actually fully used serbia (buying book them, using online capabilities) except kindle, since one except amazon ship serbia, since i've actually happy amazon customer since 2005 friends' account since 2007 own, since kindle definitely best technology - buy itso did. read many review screen/light paperwhite similar device problem mine. light disperses fine, except black blotch (maybe see picture) bottom screen, actually shadow black plastic casing thus can't really avoided. see picture without light - blotch light out.the paperwhite's screen marvelous 300 ppi, touchscreen work fine, store work serbia, two day i've using it, i'm happy guy.i get hang make sideloaded book behave least almost like amazon books, that's fine. that's one thing i'd like see amazon future upgrades: make kindle treat sideloaded book like one bought directly, sharing funcion (quotes goodreads) enabled on.the size perfect, sits well hand, light hurt eye dark (like light tab does)... packaging fine, problem remains seen battery life.so far, recommend it.",I LOVE IT,Miljan David Tanic,1280,1
93,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
94,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
95,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
96,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
97,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
98,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
99,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
100,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
101,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,30.0,5.0,perfect. lot people commenting case fall portable. that's intended use case. strictly decorative use. look great come several color options. would definitely purchase again.,This is perfect. A lot of people were commenting that the ...,Ryan,173,1
102,AV00LZP7GV-KLJ3AC0UK,B01LW1MS9C,68.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.",Great upgrade for aesthetics,D. Miyao,773,1
103,AV1T07M-JTXR-F31COX,B01FWSVGQQ,123.0,4.0,"updating review two month ago.. initial review sling cover based first impression receiving it. today using tap sling daily last two month felt like needed modify review. originally recommend product, living it, growing like it, changing recommendation.the truth is, base top feel protected appearance would believe. dropped couple time protected sling. think rubber absorbs force fall. also, sat puddle bottom protected rubber sling.i initially upset sling preventing charging charging dock, big problem thought would be. pull bottom sling charge (leaving top sling on). easy easy back after.my real lingering complaint would price. 20 essentially thin piece rubber wrapping top bottom still seems little excessive. increasing star one. really price thing keeping 5 star me. come really like sling. also bought cheap pouch throw transporting it. eased concern keeping clean/safe throwing work bag.my original below. overall, would (and have) recommended sling protect tap.received tap sling cover last 24 hours.read",Updated review (after 2 months)...,Jbird,1016,1
104,AV1T07M-JTXR-F31COX,B01FWSVGQQ,122.0,5.0,"sling simply awesome amazon tap!! tap arrived morning along sling currently testing product speak!! sling allowed easy access carry tap work today!!one nice thing like tap sling required nice addition.. provides great protection tap, needed for.. tap going like mini, portable sonos me.. going speaker take daily!! wanted sling protect speaker keep getting dinged up.. even though provides minimal coverage speaker, still protects dings! minimal coverage needed hurt sound quality coming speaker... taking speaker beach, camping, hiking, parties, wanted something protect use!! sling going that!!another thing allows hang bag!! first, afraid silicone strong enough would stretch.. well far, issues!! use carabiner attach bag!! stretching super easy carry tap me!pros1.) access button sling2.) charge sling (via usb port dock)3.) allows personalization tap4.) protects tap ding since tap home use, great5.) love bright vibrant colors6.) silicone plenty strong enough hanging7.) adversely affect sound qualityoverall: feel 20 sling little high protection provides brand new tap, happy it.. buy tap sit still home..read",Provides Excellent protection for my new tap that is out and about with me as we speak!!!,Devin Stephens,1116,1
105,AV1T07M-JTXR-F31COX,B01FWSVGQQ,36.0,5.0,"ok first thing first, also echo echo love tap.now see lot review around internet people saying wish tap voice enabled like echo. happen think people completely thinking thing through. echo meant mobile device. generally sits somewhere house voice command great feature have. tap meant mobile, therefore happy voice command device. would want beach subway coffee shop thing think world taking it. actually think voice command well thought feature. echo kitchen counter tap studio office. leave office grab go.i bought sale 89 went store listened many bluetooth speakers. yes charge 3 sound better, charge 3 bluetooth speaker. tap much le . tap sound great. looking online little nervous would sound great, 100 wrong that. product 89 sound good tap does.i paid given tap write review. i'm consumer market bluetooth speaker, could happier choice.also buy device buy amazon sling well. trust want it. honestly happy got one cover bottom tap. sitting table someone knocked drink would want bottom charging ring exposed.that's it, that's all. buy it, disappointed!!!!!",I also own a Echo and if you own a Echo you will love the Tap,CHRISTOPHER JONES,1062,1
106,AVPFPZCI1CNLUZ0-OXER,B00DOPNLJ0,402.0,3.0,"updated 12/8/2014one year in...this review no-ad 64 gb wifi-only hdx 8.9.i use galaxy s5 android smartphone hdx medium / web surfing / offline viewing travel. since already using amazon prime prime music brainer use hdx fill role medium / web surfing tablet.be informed download limitation device. amazon adding clarification help would-be purchaser make informed opinion. obvious ordered mine they're listening good.be aware popular prime content *may* available download (and save) hdx. save certain video hdx know one buy hdx try out. *** edited 12/21/2013 see list prime movie show downloaded device. that's improvement clearly show available downloadable prime content. +1 amazon. ***i also assumption could download many video like limiting factor memory capacity hdx. also case. again, bought larger capacity hdx assumption. dumb part turn limited storage capacity. limited number downloads device. kids' content really short may find running limitation, people never will.read","KF HDX 8.9 is ok do homework on Prime download before you buy 8,",B. Tarbuck,984,0
107,AVPFPZCI1CNLUZ0-OXER,B00DOPNLJ0,330.0,4.0,"simply put, amazon ipad air killer. 7 hdx ipad mini killer. hdxs inherent similar hardware. mean 8.9 version enlarged version 7 version. 7 version review, please search hdx 7 review.my profile: im heavy tablet user personal business purposes. work tablet around 4-5 hour day (email / document / spreadsheet / pdf) use tablet 1-2 hour personal use watching movie reading books/magazine. hdx tablet go-to device internet related search do. also main electronic device, important smartphones laptopsi following and/or used following before:1) ipad 12) ipad 23) ipad 44) ipad mini5) kindle fire6) kindle fire hd7) kindle fire hd 8.98) asus transformer keyboard9) nexus 7 first gen10) kindle hdx 7 also review check outas see, many device hope review experience help user decide right device them. ongoing review device throughout year. comparison sake, use last year's kindle fire hd 8.9 also fire hdx 7 benchmarksspeed (9/10):the chipset used kindle fire hdx 8.9 kindle fire 7 mentioned 7 review, leap bound faster last year kindle hd. last year kindle struggle go hd video content put in. year's hdx able play seamlessly hd 1080p content added. incredible much 2.2ghz quad processor improved v last year's model dual 1.2ghz.read","An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,",Amazon Reviewer,1226,1
108,AVPFPZCI1CNLUZ0-OXER,B00DOPNLJ0,85.0,1.0,"15 months, 500+ tablet longer useable. stuck boot screen. invested lot amazon movie books. stinks.",Dead after 15 months,Samuel Ruiz,98,0
